---,Name,MaleRaceTemplate,FemaleRaceTemplate,EquipmentTemplates,ProfessionTemplate,StatTemplate,StatModifierTemplate,ComboPresets,NPCClass,BehaviorTree,AIController,NPCBehaviorParameters,LootTable,DistanceThresholdRangedWeapon,DistanceThresholdMeleeWeapon,BlockActionMinDuration,BlockOnAttackedMinDuration,BlockMaxDuration,BlockChance,BlockChanceWhenAttacked
Black_Hand_Fighter_2_Stygian,"NSLOCTEXT("""", ""SpawnDataTable_Black_Hand_Fighter_2_Stygian_Name"", ""Stygian Fighter II"")","(RaceTemplate=""Race_StygianMale"",Weight=75.000000)","(RaceTemplate=""Race_StygianFemale"",Weight=25.000000)","(""BlackHand_Armor_Warrior_Medium"",""BlackHand_Weapon_TwoHand"")","Fighter_2","All Thralls Base","(""Blackhand_Mods"")","((WeaponType=TwoHanded,ComboPresetId=201))","/Game/Characters/NPCs/Humanoid/HumanoidNPCCharacter.HumanoidNPCCharacter_C","/Game/Systems/AI/NewAI/BT_SimpleAttack.BT_SimpleAttack","/Game/Systems/AI/NewAI/HumanAIController.HumanAIController_C","/Game/Systems/AI/BP_DefaultNPCBehaviorParameters.BP_DefaultNPCBehaviorParameters_C","(DataTable=DataTable'/Game/Systems/Loot/TableSetup/P_M_Blackhand_T2.P_M_Blackhand_T2',RowName="""")","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
Black_Hand_Fighter_2_Zamorian,"NSLOCTEXT("""", ""SpawnDataTable_Black_Hand_Fighter_2_Zamorian_Name"", ""Zamorian Fighter II"")","(RaceTemplate=""Race_ZamorianMale"",Weight=75.000000)","(RaceTemplate=""Race_ZamorianFemale"",Weight=25.000000)","(""BlackHand_Armor_Warrior_Medium"",""BlackHand_Weapon_Shield"")","Fighter_2","All Thralls Base","(""Blackhand_Mods"")","((ComboPresetId=201))","/Game/Characters/NPCs/Humanoid/HumanoidNPCCharacter.HumanoidNPCCharacter_C","/Game/Systems/AI/NewAI/BT_SimpleAttack.BT_SimpleAttack","/Game/Systems/AI/NewAI/HumanAIController.HumanAIController_C","/Game/Systems/AI/BP_DefaultNPCBehaviorParameters.BP_DefaultNPCBehaviorParameters_C","(DataTable=DataTable'/Game/Systems/Loot/TableSetup/P_M_Blackhand_T2.P_M_Blackhand_T2',RowName="""")","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
Black_Hand_Fighter_2_Zingarian,"NSLOCTEXT("""", ""SpawnDataTable_Black_Hand_Fighter_2_Zingarian_Name"", ""Zingaran Fighter II"")","(RaceTemplate=""Race_ZingarianMale"",Weight=75.000000)","(RaceTemplate=""Race_ZingarianFemale"",Weight=25.000000)","(""BlackHand_Armor_Warrior_Medium"",""BlackHand_Weapon_Shield"")","Fighter_2","All Thralls Base","(""Blackhand_Mods"")","((ComboPresetId=201))","/Game/Characters/NPCs/Humanoid/HumanoidNPCCharacter.HumanoidNPCCharacter_C","/Game/Systems/AI/NewAI/BT_SimpleAttack.BT_SimpleAttack","/Game/Systems/AI/NewAI/HumanAIController.HumanAIController_C","/Game/Systems/AI/BP_DefaultNPCBehaviorParameters.BP_DefaultNPCBehaviorParameters_C","(DataTable=DataTable'/Game/Systems/Loot/TableSetup/P_M_Blackhand_T2.P_M_Blackhand_T2',RowName="""")","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
Black_Hand_Fighter_3_Cimmerian,"NSLOCTEXT("""", ""SpawnDataTable_Black_Hand_Fighter_3_Cimmerian_Name"", ""Cimmerian Fighter III"")","(RaceTemplate=""Race_CimmerianMale"",Weight=75.000000)","(RaceTemplate=""Race_CimmerianFemale"",Weight=25.000000)","(""BlackHand_Armor_Warrior_Heavy"",""BlackHand_Weapon"")","Fighter_3","All Thralls Base","(""Blackhand_Mods"")","((ComboPresetId=202))","/Game/Characters/NPCs/Humanoid/HumanoidNPCCharacter.HumanoidNPCCharacter_C","/Game/Systems/AI/NewAI/BT_SimpleAttack.BT_SimpleAttack","/Game/Systems/AI/NewAI/HumanAIController.HumanAIController_C","/Game/Systems/AI/BP_DefaultNPCBehaviorParameters.BP_DefaultNPCBehaviorParameters_C","(DataTable=DataTable'/Game/Systems/Loot/TableSetup/P_M_Blackhand_T3.P_M_Blackhand_T3',RowName="""")","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
Black_Hand_Fighter_3_FireOrb,"NSLOCTEXT("""", ""SpawnDataTable_Black_Hand_Fighter_3_FireOrb_Name"", ""Zingaran Fighter III"")","(RaceTemplate=""Race_ZingarianMale"",Weight=75.000000)","(RaceTemplate=""Race_ZingarianFemale"",Weight=25.000000)","(""BlackHand_Pir_Armor_Warrior_Heavy"",""Generic_Weapon_FireOrb"")","Fighter_3","All Thralls Base","(""Blackhand_Pir_Mods"")","","/Game/Characters/NPCs/Humanoid/HumanoidNPCCharacter.HumanoidNPCCharacter_C","/Game/Systems/AI/NewAI/BT_SimpleAttack.BT_SimpleAttack","/Game/Systems/AI/NewAI/HumanAIController.HumanAIController_C","/Game/Systems/AI/BP_DefaultNPCBehaviorParameters.BP_DefaultNPCBehaviorParameters_C","(DataTable=DataTable'/Game/Systems/Loot/TableSetup/P_M_Blackhand_T3.P_M_Blackhand_T3',RowName="""")","900.000000","400.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
Black_Hand_Fighter_3_Kushite,"NSLOCTEXT("""", ""SpawnDataTable_Black_Hand_Fighter_3_Kushite_Name"", ""Kushite Fighter III"")","(RaceTemplate=""Race_KushiteMale"",Weight=75.000000)","(RaceTemplate=""Race_KushiteFemale"",Weight=25.000000)","(""BlackHand_Armor_Warrior_Heavy"",""BlackHand_Weapon_TwoHand"")","Fighter_3","All Thralls Base","(""Blackhand_Mods"")","((WeaponType=TwoHanded,ComboPresetId=202))","/Game/Characters/NPCs/Humanoid/HumanoidNPCCharacter.HumanoidNPCCharacter_C","/Game/Systems/AI/NewAI/BT_SimpleAttack.BT_SimpleAttack","/Game/Systems/AI/NewAI/HumanAIController.HumanAIController_C","/Game/Systems/AI/BP_DefaultNPCBehaviorParameters.BP_DefaultNPCBehaviorParameters_C","(DataTable=DataTable'/Game/Systems/Loot/TableSetup/P_M_Blackhand_T3.P_M_Blackhand_T3',RowName="""")","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
Black_Hand_Fighter_3_Nordheimer,"NSLOCTEXT("""", ""SpawnDataTable_Black_Hand_Fighter_3_Nordheimer_Name"", ""Nordheimer Fighter III"")","(RaceTemplate=""Race_NordheimerMale"",Weight=75.000000)","(RaceTemplate=""Race_NordheimerFemale"",Weight=25.000000)","(""BlackHand_Armor_Warrior_Heavy"",""BlackHand_Weapon"")","Fighter_3","All Thralls Base","(""Blackhand_Mods"")","((ComboPresetId=202))","/Game/Characters/NPCs/Humanoid/HumanoidNPCCharacter.HumanoidNPCCharacter_C","/Game/Systems/AI/NewAI/BT_SimpleAttack.BT_SimpleAttack","/Game/Systems/AI/NewAI/HumanAIController.HumanAIController_C","/Game/Systems/AI/BP_DefaultNPCBehaviorParameters.BP_DefaultNPCBehaviorParameters_C","(DataTable=DataTable'/Game/Systems/Loot/TableSetup/P_M_Blackhand_T3.P_M_Blackhand_T3',RowName="""")","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
Black_Hand_Fighter_3_Shemite,"NSLOCTEXT("""", ""SpawnDataTable_Black_Hand_Fighter_3_Shemite_Name"", ""Shemite Fighter III"")","(RaceTemplate=""Race_ShemiteMale"",Weight=75.000000)","(RaceTemplate=""Race_ShemiteFemale"",Weight=25.000000)","(""BlackHand_Armor_Warrior_Heavy"",""BlackHand_Weapon_TwoHand"")","Fighter_3","All Thralls Base","(""Blackhand_Mods"")","((WeaponType=TwoHanded,ComboPresetId=202))","/Game/Characters/NPCs/Humanoid/HumanoidNPCCharacter.HumanoidNPCCharacter_C","/Game/Systems/AI/NewAI/BT_SimpleAttack.BT_SimpleAttack","/Game/Systems/AI/NewAI/HumanAIController.HumanAIController_C","/Game/Systems/AI/BP_DefaultNPCBehaviorParameters.BP_DefaultNPCBehaviorParameters_C","(DataTable=DataTable'/Game/Systems/Loot/TableSetup/P_M_Blackhand_T3.P_M_Blackhand_T3',RowName="""")","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
Black_Hand_Fighter_3_Stygian,"NSLOCTEXT("""", ""SpawnDataTable_Black_Hand_Fighter_3_Stygian_Name"", ""Stygian Fighter III"")","(RaceTemplate=""Race_StygianMale"",Weight=75.000000)","(RaceTemplate=""Race_StygianFemale"",Weight=25.000000)","(""BlackHand_Armor_Warrior_Heavy"",""BlackHand_Weapon_TwoHand"")","Fighter_3","All Thralls Base","(""Blackhand_Mods"")","((WeaponType=TwoHanded,ComboPresetId=202))","/Game/Characters/NPCs/Humanoid/HumanoidNPCCharacter.HumanoidNPCCharacter_C","/Game/Systems/AI/NewAI/BT_SimpleAttack.BT_SimpleAttack","/Game/Systems/AI/NewAI/HumanAIController.HumanAIController_C","/Game/Systems/AI/BP_DefaultNPCBehaviorParameters.BP_DefaultNPCBehaviorParameters_C","(DataTable=DataTable'/Game/Systems/Loot/TableSetup/P_M_Blackhand_T3.P_M_Blackhand_T3',RowName="""")","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
Black_Hand_Fighter_3_Zamorian,"NSLOCTEXT("""", ""SpawnDataTable_Black_Hand_Fighter_3_Zamorian_Name"", ""Zamorian Fighter III"")","(RaceTemplate=""Race_ZamorianMale"",Weight=75.000000)","(RaceTemplate=""Race_ZamorianFemale"",Weight=25.000000)","(""BlackHand_Armor_Warrior_Heavy"",""BlackHand_Weapon_Shield"")","Fighter_3","All Thralls Base","(""Blackhand_Mods"")","((ComboPresetId=202))","/Game/Characters/NPCs/Humanoid/HumanoidNPCCharacter.HumanoidNPCCharacter_C","/Game/Systems/AI/NewAI/BT_SimpleAttack.BT_SimpleAttack","/Game/Systems/AI/NewAI/HumanAIController.HumanAIController_C","/Game/Systems/AI/BP_DefaultNPCBehaviorParameters.BP_DefaultNPCBehaviorParameters_C","(DataTable=DataTable'/Game/Systems/Loot/TableSetup/P_M_Blackhand_T3.P_M_Blackhand_T3',RowName="""")","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
Black_Hand_Fighter_3_Zingarian,"NSLOCTEXT("""", ""SpawnDataTable_Black_Hand_Fighter_3_Zingarian_Name"", ""Zingaran Fighter III"")","(RaceTemplate=""Race_ZingarianMale"",Weight=75.000000)","(RaceTemplate=""Race_ZingarianFemale"",Weight=25.000000)","(""BlackHand_Armor_Warrior_Heavy"",""BlackHand_Weapon_Shield"")","Fighter_3","All Thralls Base","(""Blackhand_Mods"")","((ComboPresetId=202))","/Game/Characters/NPCs/Humanoid/HumanoidNPCCharacter.HumanoidNPCCharacter_C","/Game/Systems/AI/NewAI/BT_SimpleAttack.BT_SimpleAttack","/Game/Systems/AI/NewAI/HumanAIController.HumanAIController_C","/Game/Systems/AI/BP_DefaultNPCBehaviorParameters.BP_DefaultNPCBehaviorParameters_C","(DataTable=DataTable'/Game/Systems/Loot/TableSetup/P_M_Blackhand_T3.P_M_Blackhand_T3',RowName="""")","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
Black_Hand_Fighter_4_Cimmerian,"NSLOCTEXT("""", ""SpawnDataTable_Black_Hand_Fighter_4_Cimmerian_Name"", ""Cruaidh the Crusher"")","(RaceTemplate=""CruaidhtheCrusher"",Weight=100.000000)","(RaceTemplate=""CruaidhtheCrusher"",Weight=0.000000)","(""BlackHand_Armor_Warrior_Heavy"",""BlackHand_Weapon"")","Fighter_4","All Thralls Base","(""Blackhand_Mods"")","((ComboPresetId=301))","/Game/Characters/NPCs/Humanoid/HumanoidNPCCharacter.HumanoidNPCCharacter_C","/Game/Systems/AI/NewAI/BT_SimpleAttack.BT_SimpleAttack","/Game/Systems/AI/NewAI/HumanAIController.HumanAIController_C","/Game/Systems/AI/BP_DefaultNPCBehaviorParameters.BP_DefaultNPCBehaviorParameters_C","(DataTable=DataTable'/Game/Systems/Loot/TableSetup/P_M_Blackhand_T4.P_M_Blackhand_T4',RowName="""")","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
Black_Hand_Fighter_4_Nordheimer,"NSLOCTEXT("""", ""SpawnDataTable_Black_Hand_Fighter_4_Nordheimer_Name"", ""Braggi the Bold"")","(RaceTemplate=""BraggitheBold"",Weight=100.000000)","(RaceTemplate=""BraggitheBold"",Weight=0.000000)","(""BlackHand_Armor_Warrior_Heavy"",""BlackHand_Weapon"")","Fighter_4","All Thralls Base","(""Blackhand_Mods"")","((ComboPresetId=301))","/Game/Characters/NPCs/Humanoid/HumanoidNPCCharacter.HumanoidNPCCharacter_C","/Game/Systems/AI/NewAI/BT_SimpleAttack.BT_SimpleAttack","/Game/Systems/AI/NewAI/HumanAIController.HumanAIController_C","/Game/Systems/AI/BP_DefaultNPCBehaviorParameters.BP_DefaultNPCBehaviorParameters_C","(DataTable=DataTable'/Game/Systems/Loot/TableSetup/P_M_Blackhand_T4.P_M_Blackhand_T4',RowName="""")","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
Black_Hand_Pir_Archer_1_Cimmerian,"NSLOCTEXT("""", ""SpawnDataTable_Black_Hand_Pir_Archer_1_Cimmerian_Name"", ""Cimmerian Archer I"")","(RaceTemplate=""Race_CimmerianMale"",Weight=75.000000)","(RaceTemplate=""Race_CimmerianFemale"",Weight=25.000000)","(""BlackHand_Pir_Armor_Warrior_Light"",""BlackHand_Weapon_Crossbow"")","Archer_1","All Thralls Base","(""Blackhand_Pir_Mods"")","","/Game/Characters/NPCs/Humanoid/HumanoidNPCCharacter.HumanoidNPCCharacter_C","/Game/Systems/AI/NewAI/BT_SimpleAttack.BT_SimpleAttack","/Game/Systems/AI/NewAI/HumanAIController.HumanAIController_C","/Game/Systems/AI/BP_DefaultNPCBehaviorParameters.BP_DefaultNPCBehaviorParameters_C","(DataTable=DataTable'/Game/Systems/Loot/TableSetup/P_M_Blackhand_T1.P_M_Blackhand_T1',RowName="""")","900.000000","400.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
Black_Hand_Pir_Archer_1_Darfari,"NSLOCTEXT("""", ""SpawnDataTable_Black_Hand_Pir_Archer_1_Darfari_Name"", ""Darfari Archer I"")","(RaceTemplate=""Race_DarfariMale"",Weight=75.000000)","(RaceTemplate=""Race_DarfariFemale"",Weight=25.000000)","(""BlackHand_Pir_Armor_Warrior_Light"",""BlackHand_Weapon_Crossbow"")","Archer_1","All Thralls Base","(""Blackhand_Pir_Mods"")","","/Game/Characters/NPCs/Humanoid/HumanoidNPCCharacter.HumanoidNPCCharacter_C","/Game/Systems/AI/NewAI/BT_SimpleAttack.BT_SimpleAttack","/Game/Systems/AI/NewAI/HumanAIController.HumanAIController_C","/Game/Systems/AI/BP_DefaultNPCBehaviorParameters.BP_DefaultNPCBehaviorParameters_C","(DataTable=DataTable'/Game/Systems/Loot/TableSetup/P_M_Blackhand_T1.P_M_Blackhand_T1',RowName="""")","900.000000","400.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
Black_Hand_Pir_Archer_1_Hyborian,"NSLOCTEXT("""", ""SpawnDataTable_Black_Hand_Pir_Archer_1_Hyborian_Name"", ""Hyborian Archer I"")","(RaceTemplate=""Race_HyborianMale"",Weight=75.000000)","(RaceTemplate=""Race_HyborianFemale"",Weight=25.000000)","(""BlackHand_Pir_Armor_Warrior_Light"",""BlackHand_Weapon_Crossbow"")","Archer_1","All Thralls Base","(""Blackhand_Pir_Mods"")","","/Game/Characters/NPCs/Humanoid/HumanoidNPCCharacter.HumanoidNPCCharacter_C","/Game/Systems/AI/NewAI/BT_SimpleAttack.BT_SimpleAttack","/Game/Systems/AI/NewAI/HumanAIController.HumanAIController_C","/Game/Systems/AI/BP_DefaultNPCBehaviorParameters.BP_DefaultNPCBehaviorParameters_C","(DataTable=DataTable'/Game/Systems/Loot/TableSetup/P_M_Blackhand_T1.P_M_Blackhand_T1',RowName="""")","900.000000","400.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
Black_Hand_Pir_Archer_1_Hyrkanian,"NSLOCTEXT("""", ""SpawnDataTable_Black_Hand_Pir_Archer_1_Hyrkanian_Name"", ""Hyrkanian Archer I"")","(RaceTemplate=""Race_HyrkanianMale"",Weight=75.000000)","(RaceTemplate=""Race_HyrkanianFemale"",Weight=25.000000)","(""BlackHand_Pir_Armor_Warrior_Light"",""BlackHand_Weapon_Crossbow"")","Archer_1","All Thralls Base","(""Blackhand_Pir_Mods"")","","/Game/Characters/NPCs/Humanoid/HumanoidNPCCharacter.HumanoidNPCCharacter_C","/Game/Systems/AI/NewAI/BT_SimpleAttack.BT_SimpleAttack","/Game/Systems/AI/NewAI/HumanAIController.HumanAIController_C","/Game/Systems/AI/BP_DefaultNPCBehaviorParameters.BP_DefaultNPCBehaviorParameters_C","(DataTable=DataTable'/Game/Systems/Loot/TableSetup/P_M_Blackhand_T1.P_M_Blackhand_T1',RowName="""")","900.000000","400.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
Black_Hand_Pir_Archer_1_Kushite,"NSLOCTEXT("""", ""SpawnDataTable_Black_Hand_Pir_Archer_1_Kushite_Name"", ""Kushite Archer I"")","(RaceTemplate=""Race_KushiteMale"",Weight=75.000000)","(RaceTemplate=""Race_KushiteFemale"",Weight=25.000000)","(""BlackHand_Pir_Armor_Warrior_Light"",""BlackHand_Weapon_Crossbow"")","Archer_1","All Thralls Base","(""Blackhand_Pir_Mods"")","","/Game/Characters/NPCs/Humanoid/HumanoidNPCCharacter.HumanoidNPCCharacter_C","/Game/Systems/AI/NewAI/BT_SimpleAttack.BT_SimpleAttack","/Game/Systems/AI/NewAI/HumanAIController.HumanAIController_C","/Game/Systems/AI/BP_DefaultNPCBehaviorParameters.BP_DefaultNPCBehaviorParameters_C","(DataTable=DataTable'/Game/Systems/Loot/TableSetup/P_M_Blackhand_T1.P_M_Blackhand_T1',RowName="""")","900.000000","400.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
Black_Hand_Pir_Archer_1_Nordheimer,"NSLOCTEXT("""", ""SpawnDataTable_Black_Hand_Pir_Archer_1_Nordheimer_Name"", ""Nordheimer Archer I"")","(RaceTemplate=""Race_NordheimerMale"",Weight=75.000000)","(RaceTemplate=""Race_NordheimerFemale"",Weight=25.000000)","(""BlackHand_Pir_Armor_Warrior_Light"",""BlackHand_Weapon_Crossbow"")","Archer_1","All Thralls Base","(""Blackhand_Pir_Mods"")","","/Game/Characters/NPCs/Humanoid/HumanoidNPCCharacter.HumanoidNPCCharacter_C","/Game/Systems/AI/NewAI/BT_SimpleAttack.BT_SimpleAttack","/Game/Systems/AI/NewAI/HumanAIController.HumanAIController_C","/Game/Systems/AI/BP_DefaultNPCBehaviorParameters.BP_DefaultNPCBehaviorParameters_C","(DataTable=DataTable'/Game/Systems/Loot/TableSetup/P_M_Blackhand_T1.P_M_Blackhand_T1',RowName="""")","900.000000","400.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
Black_Hand_Pir_Archer_1_Shemite,"NSLOCTEXT("""", ""SpawnDataTable_Black_Hand_Pir_Archer_1_Shemite_Name"", ""Shemite Archer I"")","(RaceTemplate=""Race_ShemiteMale"",Weight=75.000000)","(RaceTemplate=""Race_ShemiteFemale"",Weight=25.000000)","(""BlackHand_Pir_Armor_Warrior_Light"",""BlackHand_Weapon_Crossbow"")","Archer_1","All Thralls Base","(""Blackhand_Pir_Mods"")","","/Game/Characters/NPCs/Humanoid/HumanoidNPCCharacter.HumanoidNPCCharacter_C","/Game/Systems/AI/NewAI/BT_SimpleAttack.BT_SimpleAttack","/Game/Systems/AI/NewAI/HumanAIController.HumanAIController_C","/Game/Systems/AI/BP_DefaultNPCBehaviorParameters.BP_DefaultNPCBehaviorParameters_C","(DataTable=DataTable'/Game/Systems/Loot/TableSetup/P_M_Blackhand_T1.P_M_Blackhand_T1',RowName="""")","900.000000","400.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
Black_Hand_Pir_Archer_1_Stygian,"NSLOCTEXT("""", ""SpawnDataTable_Black_Hand_Pir_Archer_1_Stygian_Name"", ""Stygian Archer I"")","(RaceTemplate=""Race_StygianMale"",Weight=75.000000)","(RaceTemplate=""Race_StygianFemale"",Weight=25.000000)","(""BlackHand_Pir_Armor_Warrior_Light"",""BlackHand_Weapon_Crossbow"")","Archer_1","All Thralls Base","(""Blackhand_Pir_Mods"")","","/Game/Characters/NPCs/Humanoid/HumanoidNPCCharacter.HumanoidNPCCharacter_C","/Game/Systems/AI/NewAI/BT_SimpleAttack.BT_SimpleAttack","/Game/Systems/AI/NewAI/HumanAIController.HumanAIController_C","/Game/Systems/AI/BP_DefaultNPCBehaviorParameters.BP_DefaultNPCBehaviorParameters_C","(DataTable=DataTable'/Game/Systems/Loot/TableSetup/P_M_Blackhand_T1.P_M_Blackhand_T1',RowName="""")","900.000000","400.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
Black_Hand_Pir_Archer_1_Zamorian,"NSLOCTEXT("""", ""SpawnDataTable_Black_Hand_Pir_Archer_1_Zamorian_Name"", ""Zamorian Archer I"")","(RaceTemplate=""Race_ZamorianMale"",Weight=75.000000)","(RaceTemplate=""Race_ZamorianFemale"",Weight=25.000000)","(""BlackHand_Pir_Armor_Warrior_Light"",""BlackHand_Weapon_Crossbow"")","Archer_1","All Thralls Base","(""Blackhand_Pir_Mods"")","","/Game/Characters/NPCs/Humanoid/HumanoidNPCCharacter.HumanoidNPCCharacter_C","/Game/Systems/AI/NewAI/BT_SimpleAttack.BT_SimpleAttack","/Game/Systems/AI/NewAI/HumanAIController.HumanAIController_C","/Game/Systems/AI/BP_DefaultNPCBehaviorParameters.BP_DefaultNPCBehaviorParameters_C","(DataTable=DataTable'/Game/Systems/Loot/TableSetup/P_M_Blackhand_T1.P_M_Blackhand_T1',RowName="""")","900.000000","400.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
Black_Hand_Pir_Archer_1_Zingarian,"NSLOCTEXT("""", ""SpawnDataTable_Black_Hand_Pir_Archer_1_Zingarian_Name"", ""Zingaran Archer I"")","(RaceTemplate=""Race_ZingarianMale"",Weight=75.000000)","(RaceTemplate=""Race_ZingarianFemale"",Weight=25.000000)","(""BlackHand_Pir_Armor_Warrior_Light"",""BlackHand_Weapon_Crossbow"")","Archer_1","All Thralls Base","(""Blackhand_Pir_Mods"")","","/Game/Characters/NPCs/Humanoid/HumanoidNPCCharacter.HumanoidNPCCharacter_C","/Game/Systems/AI/NewAI/BT_SimpleAttack.BT_SimpleAttack","/Game/Systems/AI/NewAI/HumanAIController.HumanAIController_C","/Game/Systems/AI/BP_DefaultNPCBehaviorParameters.BP_DefaultNPCBehaviorParameters_C","(DataTable=DataTable'/Game/Systems/Loot/TableSetup/P_M_Blackhand_T1.P_M_Blackhand_T1',RowName="""")","900.000000","400.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
Black_Hand_Pir_Archer_2_Cimmerian,"NSLOCTEXT("""", ""SpawnDataTable_Black_Hand_Pir_Archer_2_Cimmerian_Name"", ""Cimmerian Archer II"")","(RaceTemplate=""Race_CimmerianMale"",Weight=75.000000)","(RaceTemplate=""Race_CimmerianFemale"",Weight=25.000000)","(""BlackHand_Pir_Armor_Warrior_Medium"",""BlackHand_Weapon_Crossbow"")","Archer_2","All Thralls Base","(""Blackhand_Pir_Mods"")","","/Game/Characters/NPCs/Humanoid/HumanoidNPCCharacter.HumanoidNPCCharacter_C","/Game/Systems/AI/NewAI/BT_SimpleAttack.BT_SimpleAttack","/Game/Systems/AI/NewAI/HumanAIController.HumanAIController_C","/Game/Systems/AI/BP_DefaultNPCBehaviorParameters.BP_DefaultNPCBehaviorParameters_C","(DataTable=DataTable'/Game/Systems/Loot/TableSetup/P_M_Blackhand_T2.P_M_Blackhand_T2',RowName="""")","900.000000","400.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
Black_Hand_Pir_Archer_2_Darfari,"NSLOCTEXT("""", ""SpawnDataTable_Black_Hand_Pir_Archer_2_Darfari_Name"", ""Darfari Archer II"")","(RaceTemplate=""Race_DarfariMale"",Weight=75.000000)","(RaceTemplate=""Race_DarfariFemale"",Weight=25.000000)","(""BlackHand_Pir_Armor_Warrior_Medium"",""BlackHand_Weapon_Crossbow"")","Archer_2","All Thralls Base","(""Blackhand_Pir_Mods"")","","/Game/Characters/NPCs/Humanoid/HumanoidNPCCharacter.HumanoidNPCCharacter_C","/Game/Systems/AI/NewAI/BT_SimpleAttack.BT_SimpleAttack","/Game/Systems/AI/NewAI/HumanAIController.HumanAIController_C","/Game/Systems/AI/BP_DefaultNPCBehaviorParameters.BP_DefaultNPCBehaviorParameters_C","(DataTable=DataTable'/Game/Systems/Loot/TableSetup/P_M_Blackhand_T2.P_M_Blackhand_T2',RowName="""")","900.000000","400.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
Black_Hand_Pir_Archer_2_Hyborian,"NSLOCTEXT("""", ""SpawnDataTable_Black_Hand_Pir_Archer_2_Hyborian_Name"", ""Hyborian Archer II"")","(RaceTemplate=""Race_HyborianMale"",Weight=75.000000)","(RaceTemplate=""Race_HyborianFemale"",Weight=25.000000)","(""BlackHand_Pir_Armor_Warrior_Medium"",""BlackHand_Weapon_Crossbow"")","Archer_2","All Thralls Base","(""Blackhand_Pir_Mods"")","","/Game/Characters/NPCs/Humanoid/HumanoidNPCCharacter.HumanoidNPCCharacter_C","/Game/Systems/AI/NewAI/BT_SimpleAttack.BT_SimpleAttack","/Game/Systems/AI/NewAI/HumanAIController.HumanAIController_C","/Game/Systems/AI/BP_DefaultNPCBehaviorParameters.BP_DefaultNPCBehaviorParameters_C","(DataTable=DataTable'/Game/Systems/Loot/TableSetup/P_M_Blackhand_T2.P_M_Blackhand_T2',RowName="""")","900.000000","400.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
Black_Hand_Pir_Archer_2_Hyrkanian,"NSLOCTEXT("""", ""SpawnDataTable_Black_Hand_Pir_Archer_2_Hyrkanian_Name"", ""Hyrkanian Archer II"")","(RaceTemplate=""Race_HyrkanianMale"",Weight=75.000000)","(RaceTemplate=""Race_HyrkanianFemale"",Weight=25.000000)","(""BlackHand_Pir_Armor_Warrior_Medium"",""BlackHand_Weapon_Crossbow"")","Archer_2","All Thralls Base","(""Blackhand_Pir_Mods"")","","/Game/Characters/NPCs/Humanoid/HumanoidNPCCharacter.HumanoidNPCCharacter_C","/Game/Systems/AI/NewAI/BT_SimpleAttack.BT_SimpleAttack","/Game/Systems/AI/NewAI/HumanAIController.HumanAIController_C","/Game/Systems/AI/BP_DefaultNPCBehaviorParameters.BP_DefaultNPCBehaviorParameters_C","(DataTable=DataTable'/Game/Systems/Loot/TableSetup/P_M_Blackhand_T2.P_M_Blackhand_T2',RowName="""")","900.000000","400.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
