---,FeatName,Description,Icon,IconOverlay,GiveOnSpawn,LevelRequirement,FeatCost,Categories,PrerequisiteFeat,RewardRecipe,ShowInFeatWindow,CornerStoneLevel,DLCPackage
51084,"NSLOCTEXT("""", ""FeatTable_51084_FeatName"", ""Ancient Javelin"")","NSLOCTEXT("""", ""FeatTable_51084_Description"", ""XX_Desc: Ancient Javelin"")","/Game/UI/Textures/Icons/icon_ancient_javelin.icon_ancient_javelin","None","False","48","5","(Combat)","(51951,10,52000)","(51084)","True","0","None"
51087,"NSLOCTEXT("""", ""FeatTable_51087_FeatName"", ""Ancient Mace"")","NSLOCTEXT("""", ""FeatTable_51087_Description"", ""XX_Desc: Ancient Mace"")","/Game/UI/Textures/Icons/icon_ancient_mace.icon_ancient_mace","None","False","47","10","(Combat)","(4,10,52000)","(51087)","True","0","None"
51090,"NSLOCTEXT("""", ""FeatTable_51090_FeatName"", ""Ancient Pike"")","NSLOCTEXT("""", ""FeatTable_51090_Description"", ""XX_Desc: Ancient Pike"")","/Game/UI/Textures/Icons/icon_ancient_spear.icon_ancient_spear","None","False","50","11","(Combat)","(3,10,52000)","(51090)","True","0","None"
51102,"NSLOCTEXT("""", ""FeatTable_51102_FeatName"", ""Blunted Javelin"")","NSLOCTEXT("""", ""FeatTable_51102_Description"", ""XX_Desc: Blunted Javelin"")","/Game/UI/Textures/Icons/icon_blunted_javelin.icon_blunted_javelin","None","False","21","1","(Combat)","(51951,10)","(51102)","True","0","None"
51103,"NSLOCTEXT("""", ""FeatTable_51103_FeatName"", ""Blunted Arrow"")","NSLOCTEXT("""", ""FeatTable_51103_Description"", ""XX_Desc: Blunted Arrow"")","/Game/UI/Textures/Icons/icon_blunt_arrow.icon_blunt_arrow","None","False","35","4","(Combat)","(6)","(51103)","True","0","None"
51151,"NSLOCTEXT("""", ""FeatTable_51151_FeatName"", ""Iron Warhammer"")","NSLOCTEXT("""", ""FeatTable_51151_Description"", ""XX_Desc: Iron Warhammer"")","/Game/UI/Textures/Icons/icon_warhammer.icon_warhammer","None","False","20","5","(Combat)","(3,10,51000)","(51151)","True","0","None"
51154,"NSLOCTEXT("""", ""FeatTable_51154_FeatName"", ""Steel Warhammer"")","NSLOCTEXT("""", ""FeatTable_51154_Description"", ""XX_Desc: Steel Warhammer"")","/Game/UI/Textures/Icons/icon_steel_warhammer.icon_steel_warhammer","None","False","32","7","(Combat)","(3,10,52000)","(51154)","True","0","None"
51155,"NSLOCTEXT("""", ""FeatTable_51155_FeatName"", ""Ancient Warhammer"")","NSLOCTEXT("""", ""FeatTable_51155_Description"", ""XX_Desc: Ancient Warhammer"")","/Game/UI/Textures/Icons/icon_ancient_warhammer.icon_ancient_warhammer","None","False","44","9","(Combat)","(3,10,52000)","(51155)","True","0","None"
51156,"NSLOCTEXT("""", ""FeatTable_51156_FeatName"", ""Hardened Steel Hammer"")","NSLOCTEXT("""", ""FeatTable_51156_Description"", ""XX_Desc: Hardened Steel Hammer"")","/Game/UI/Textures/Icons/icon_hardened_steel_warhammer.icon_hardened_steel_warhammer","None","False","56","12","(Combat)","(3,10,51014)","(51156)","True","0","None"
51159,"NSLOCTEXT("""", ""FeatTable_51159_FeatName"", ""Star Metal Hammer"")","NSLOCTEXT("""", ""FeatTable_51159_Description"", ""XX_Desc: Star Metal Hammer"")","/Game/UI/Textures/Icons/icon_star_metal_warhammer.icon_star_metal_warhammer","None","False","60","13","(Combat)","(11115)","(51159)","True","0","None"
51186,"NSLOCTEXT("""", ""FeatTable_51186_FeatName"", ""Flanged Iron Mace"")","NSLOCTEXT("""", ""FeatTable_51186_Description"", ""XX_Desc: Flanged Iron Mace"")","/Game/UI/Textures/Icons/icon_iron_mace.icon_iron_mace","None","False","11","3","(Combat)","(4,10,51000)","(51186)","True","0","None"
51189,"NSLOCTEXT("""", ""FeatTable_51189_FeatName"", ""Iron Corseque"")","NSLOCTEXT("""", ""FeatTable_51189_Description"", ""XX_Desc: Iron Corseque"")","/Game/UI/Textures/Icons/icon_iron_spear_improved.icon_iron_spear_improved","None","False","22","5","(Combat)","(3,10,51000)","(51189)","True","0","None"
51192,"NSLOCTEXT("""", ""FeatTable_51192_FeatName"", ""Balanced Iron Javelin"")","NSLOCTEXT("""", ""FeatTable_51192_Description"", ""XX_Desc: Balanced Iron Javelin"")","/Game/UI/Textures/Icons/icon_iron_balanced_javelin.icon_iron_balanced_javelin","None","False","24","3","(Combat)","(51951,10,51000)","(51192)","True","0","None"
51195,"NSLOCTEXT("""", ""FeatTable_51195_FeatName"", ""Iron War Axe"")","NSLOCTEXT("""", ""FeatTable_51195_Description"", ""XX_Desc: Iron War Axe"")","/Game/UI/Textures/Icons/icon_sharp_iron_axe.icon_sharp_iron_axe","None","False","28","6","(Combat)","(4,10,51000)","(51195)","True","0","None"
51198,"NSLOCTEXT("""", ""FeatTable_51198_FeatName"", ""Studded Iron Mace"")","NSLOCTEXT("""", ""FeatTable_51198_Description"", ""XX_Desc: Studded Iron Mace"")","/Game/UI/Textures/Icons/icon_iron_studded_mace.icon_iron_studded_mace","None","False","29","6","(Combat)","(4,10,51000)","(51198)","True","0","None"
51201,"NSLOCTEXT("""", ""FeatTable_51201_FeatName"", ""Steel Throwing Axe"")","NSLOCTEXT("""", ""FeatTable_51201_Description"", ""XX_Desc: Steel Throwing Axe"")","/Game/UI/Textures/Icons/icon_steel_throwing_axe.icon_steel_throwing_axe","None","False","34","4","(Combat)","(51951,10,52000)","(51201)","True","0","None"
51206,"NSLOCTEXT("""", ""FeatTable_51206_FeatName"", ""Steel Javelin"")","NSLOCTEXT("""", ""FeatTable_51206_Description"", ""XX_Desc: Steel Javelin"")","/Game/UI/Textures/Icons/icon_steel_tipped_javelin.icon_steel_tipped_javelin","None","False","36","4","(Combat)","(51951,52000)","(51206)","True","0","None"
51209,"NSLOCTEXT("""", ""FeatTable_51209_FeatName"", ""Steel Spear"")","NSLOCTEXT("""", ""FeatTable_51209_Description"", ""XX_Desc: Steel Spear"")","/Game/UI/Textures/Icons/icon_steel_tipped_spear.icon_steel_tipped_spear","None","False","37","8","(Combat)","(3,10,52000)","(51209)","True","0","None"
51212,"NSLOCTEXT("""", ""FeatTable_51212_FeatName"", ""Ancient War Axe"")","NSLOCTEXT("""", ""FeatTable_51212_Description"", ""XX_Desc: Ancient War Axe"")","/Game/UI/Textures/Icons/icon_ancient_axe.icon_ancient_axe","None","False","46","10","(Combat)","(4,10,52000)","(51212)","True","0","None"
51215,"NSLOCTEXT("""", ""FeatTable_51215_FeatName"", ""Ancient Throwing Axe"")","NSLOCTEXT("""", ""FeatTable_51215_Description"", ""XX_Desc: Ancient Throwing Axe"")","/Game/UI/Textures/Icons/icon_ancient_throwing_axe.icon_ancient_throwing_axe","None","False","46","5","(Combat)","(51951,10,52000)","(51215)","True","0","None"
51302,"NSLOCTEXT("""", ""FeatTable_51302_FeatName"", ""Iron Mace"")","NSLOCTEXT("""", ""FeatTable_51302_Description"", ""XX_Desc: Iron Mace"")","/Game/UI/Textures/Icons/icon_iron_mace_morningstar.icon_iron_mace_morningstar","None","False","20","5","(Combat)","(4,10,51000)","(51302)","True","0","None"
51305,"NSLOCTEXT("""", ""FeatTable_51305_FeatName"", ""Steel Mace"")","NSLOCTEXT("""", ""FeatTable_51305_Description"", ""XX_Desc: Steel Mace"")","/Game/UI/Textures/Icons/icon_steel_mace.icon_steel_mace","None","False","38","8","(Combat)","(4,10,52000)","(51305)","True","0","None"
51402,"NSLOCTEXT("""", ""FeatTable_51402_FeatName"", ""Hyrkanian Bow"")","NSLOCTEXT("""", ""FeatTable_51402_Description"", ""XX_Desc: Hyrkanian Bow"")","/Game/UI/Textures/Icons/icon_composite_bow.icon_composite_bow","None","False","30","7","(Combat)","(6,11,52000)","(51402)","True","0","None"
51406,"NSLOCTEXT("""", ""FeatTable_51406_FeatName"", ""Ancient Bow"")","NSLOCTEXT("""", ""FeatTable_51406_Description"", ""XX_Desc: Ancient Bow"")","/Game/UI/Textures/Icons/icon_ancient_bow.icon_ancient_bow","None","False","45","10","(Combat)","(6,11,52000)","(51406)","True","0","None"
51407,"NSLOCTEXT("""", ""FeatTable_51407_FeatName"", ""Hyrkanian Bow"")","NSLOCTEXT("""", ""FeatTable_51407_Description"", ""XX_Desc: Hyrkanian Bow"")","/Game/UI/Textures/Icons/icon_composite_bow.icon_composite_bow","None","False","20","5","(Combat)","(6,11,51000)","(51407)","True","0","None"
51454,"NSLOCTEXT("""", ""FeatTable_51454_FeatName"", ""Heavy Crossbow"")","NSLOCTEXT("""", ""FeatTable_51454_Description"", ""XX_Desc: Heavy Crossbow"")","/Game/UI/Textures/Icons/icon_steel_crossbow.icon_steel_crossbow","None","False","40","9","(Combat)","(6,11,52000)","(51454)","False","0","None"
51477,"NSLOCTEXT("""", ""FeatTable_51477_FeatName"", ""Obsidian Warhammer"")","NSLOCTEXT("""", ""FeatTable_51477_Description"", ""XX_Desc: Obsidian Warhammer"")","/Game/UI/Textures/Icons/icon_obsidian_warhammer.icon_obsidian_warhammer","None","False","60","13","(Combat)","(11115)","(51476)","False","0","None"
51478,"NSLOCTEXT("""", ""FeatTable_51478_FeatName"", ""Obsidian Two-Handed Sword"")","NSLOCTEXT("""", ""FeatTable_51478_Description"", ""XX_Desc: Obsidian Two-Handed Sword"")","/Game/UI/Textures/Icons/icon_obsidian_2h_sword.icon_obsidian_2h_sword","None","False","60","13","(Combat)","(11115)","(51479)","False","0","None"
51479,"NSLOCTEXT("""", ""FeatTable_51479_FeatName"", ""Obsidian Spear"")","NSLOCTEXT("""", ""FeatTable_51479_Description"", ""XX_Desc: Obsidian Spear"")","/Game/UI/Textures/Icons/icon_obsidian_spear.icon_obsidian_spear","None","False","60","13","(Combat)","(11115)","(51491)","False","0","None"
51480,"NSLOCTEXT("""", ""FeatTable_51480_FeatName"", ""Obsidian Arrow"")","NSLOCTEXT("""", ""FeatTable_51480_Description"", ""XX_Desc: Obsidian Arrow"")","/Game/UI/Textures/Icons/icon_obsidian_arrow.icon_obsidian_arrow","None","False","60","7","(Combat)","(11117)","(51503)","False","0","None"
51481,"NSLOCTEXT("""", ""FeatTable_51481_FeatName"", ""Obsidian Dagger"")","NSLOCTEXT("""", ""FeatTable_51481_Description"", ""XX_Desc: Obsidian Dagger"")","/Game/UI/Textures/Icons/icon_obsidian_dagger.icon_obsidian_dagger","None","False","60","13","(Combat)","(11118)","(51482)","False","0","None"
51482,"NSLOCTEXT("""", ""FeatTable_51482_FeatName"", ""Obsidian Shield"")","NSLOCTEXT("""", ""FeatTable_51482_Description"", ""XX_Desc: Obsidian Shield"")","/Game/UI/Textures/Icons/icon_obsidian_shield.icon_obsidian_shield","None","False","60","13","(Combat)","(11116)","(51488)","False","0","None"
51483,"NSLOCTEXT("""", ""FeatTable_51483_FeatName"", ""Obsidian Sword"")","NSLOCTEXT("""", ""FeatTable_51483_Description"", ""XX_Desc: Obsidian Sword"")","/Game/UI/Textures/Icons/icon_obsidian_sword.icon_obsidian_sword","None","False","60","13","(Combat)","(11114)","(51494)","False","0","None"
51484,"NSLOCTEXT("""", ""FeatTable_51484_FeatName"", ""Obsidian Mace"")","NSLOCTEXT("""", ""FeatTable_51484_Description"", ""XX_Desc: Obsidian Mace"")","/Game/UI/Textures/Icons/icon_obsidian_mace.icon_obsidian_mace","None","False","60","13","(Combat)","(11114)","(51485)","False","0","None"
51505,"NSLOCTEXT("""", ""FeatTable_51505_FeatName"", ""Serpentine Crossbow"")","NSLOCTEXT("""", ""FeatTable_51505_Description"", ""XX_Desc: Serpentine Crossbow"")","/Game/UI/Textures/Icons/icon_serpentmen_crossbow.icon_serpentmen_crossbow","None","False","60","0","(Combat)","(11117)","(51505)","False","0","None"
51508,"NSLOCTEXT("""", ""FeatTable_51508_FeatName"", ""Serpentine Shield"")","NSLOCTEXT("""", ""FeatTable_51508_Description"", ""XX_Desc: Serpentine Shield"")","/Game/UI/Textures/Icons/icon_serpentmen_shield.icon_serpentmen_shield","None","False","60","0","(Combat)","(11116)","(51508)","False","0","None"
51511,"NSLOCTEXT("""", ""FeatTable_51511_FeatName"", ""Serpentine Daggers"")","NSLOCTEXT("""", ""FeatTable_51511_Description"", ""XX_Desc: Serpentine Daggers"")","/Game/UI/Textures/Icons/icon_serpentmen_dagger.icon_serpentmen_dagger","None","False","60","0","(Combat)","(11118)","(51511)","False","0","None"
51514,"NSLOCTEXT("""", ""FeatTable_51514_FeatName"", ""Serpentine Pike"")","NSLOCTEXT("""", ""FeatTable_51514_Description"", ""XX_Desc: Serpentine Pike"")","/Game/UI/Textures/Icons/icon_serpentmen_spear.icon_serpentmen_spear","None","False","60","0","(Combat)","(11115)","(51514)","False","0","None"
51517,"NSLOCTEXT("""", ""FeatTable_51517_FeatName"", ""Serpentine Sword"")","NSLOCTEXT("""", ""FeatTable_51517_Description"", ""XX_Desc: Serpentine Sword"")","/Game/UI/Textures/Icons/icon_serpentmen_sword.icon_serpentmen_sword","None","False","60","0","(Combat)","(11114)","(51517)","False","0","None"
51520,"NSLOCTEXT("""", ""FeatTable_51520_FeatName"", ""Serpentine War Axe"")","NSLOCTEXT("""", ""FeatTable_51520_Description"", ""XX_Desc: Serpentine War Axe"")","/Game/UI/Textures/Icons/icon_serpentmen_waraxe.icon_serpentmen_waraxe","None","False","60","0","(Combat)","(11114)","(51520)","False","0","None"
51523,"NSLOCTEXT("""", ""FeatTable_51523_FeatName"", ""Serpentine Warhammer"")","NSLOCTEXT("""", ""FeatTable_51523_Description"", ""XX_Desc: Serpentine Warhammer"")","/Game/UI/Textures/Icons/icon_serpentmen_warhammer.icon_serpentmen_warhammer","None","False","60","0","(Combat)","(11115)","(51523)","False","0","None"
51526,"NSLOCTEXT("""", ""FeatTable_51526_FeatName"", ""Serpentine Mace"")","NSLOCTEXT("""", ""FeatTable_51526_Description"", ""XX_Desc: Serpentine Mace"")","/Game/UI/Textures/Icons/icon_serpentmen_mace.icon_serpentmen_mace","None","False","60","0","(Combat)","(11114)","(51526)","False","0","None"
51529,"NSLOCTEXT("""", ""FeatTable_51529_FeatName"", ""Serpentine Arrow"")","NSLOCTEXT("""", ""FeatTable_51529_Description"", ""XX_Desc: Serpentine Arrow"")","/Game/UI/Textures/Icons/icon_serpentmen_arrow.icon_serpentmen_arrow","None","False","60","0","(Combat)","(11117)","(51529)","False","0","None"
51581,"NSLOCTEXT("""", ""FeatTable_51581_FeatName"", ""Obsidian Tools"")","NSLOCTEXT("""", ""FeatTable_51581_Description"", ""XX_Desc: Obsidian Tools"")","/Game/UI/Textures/Icons/icon_obsidian_pick.icon_obsidian_pick","None","False","60","13","(Combat)","(51015)","(51581,51582,51583,51314)","False","0","None"
51584,"NSLOCTEXT("""", ""FeatTable_51584_FeatName"", ""Serpentine Javelin"")","NSLOCTEXT("""", ""FeatTable_51584_Description"", ""XX_Desc: Serpentine Javelin"")","/Game/UI/Textures/Icons/icon_serpentmen_javelin.icon_serpentmen_javelin","None","False","60","13","(Combat)","(11118)","(51584)","False","0","None"
51585,"NSLOCTEXT("""", ""FeatTable_51585_FeatName"", ""Obsidian Javelin"")","NSLOCTEXT("""", ""FeatTable_51585_Description"", ""XX_Desc: Obsidian Javelin"")","/Game/UI/Textures/Icons/icon_obsidian_javelin.icon_obsidian_javelin","None","False","60","7","(Combat)","(11118)","(51585)","False","0","None"
51586,"NSLOCTEXT("""", ""FeatTable_51586_FeatName"", ""Star Metal Bow"")","NSLOCTEXT("""", ""FeatTable_51586_Description"", ""XX_Desc: Star Metal Bow"")","/Game/UI/Textures/Icons/icon_star_metal_bow.icon_star_metal_bow","None","False","60","13","(Combat)","(11117)","(51586)","True","0","None"
51589,"NSLOCTEXT("""", ""FeatTable_51589_FeatName"", ""Hardened Steel Bow"")","NSLOCTEXT("""", ""FeatTable_51589_Description"", ""XX_Desc: Hardened Steel Bow"")","/Game/UI/Textures/Icons/icon_harded_steel_bow.icon_harded_steel_bow","None","False","51","11","(Combat)","(6)","(51589)","True","0","None"
51592,"NSLOCTEXT("""", ""FeatTable_51592_FeatName"", ""Lemurian Pike"")","NSLOCTEXT("""", ""FeatTable_51592_Description"", ""XX_Desc: Lemurian Pike"")","/Game/UI/Textures/Icons/icon_lemurian_2hSpear.icon_lemurian_2hSpear","None","False","60","0","(Combat)","(11115)","(51592)","False","0","None"
51593,"NSLOCTEXT("""", ""FeatTable_51593_FeatName"", ""Lemurian Sword"")","NSLOCTEXT("""", ""FeatTable_51593_Description"", ""XX_Desc: Lemurian Sword"")","/Game/UI/Textures/Icons/icon_lemurian_sword.icon_lemurian_sword","None","False","60","0","(Combat)","(11114)","(51593)","False","0","None"
51595,"NSLOCTEXT("""", ""FeatTable_51595_FeatName"", ""Hardened Steel Javelin"")","NSLOCTEXT("""", ""FeatTable_51595_Description"", ""XX_Desc: Hardened Steel Javelin"")","/Game/UI/Textures/Icons/icon_hardened_steel_javelin.icon_hardened_steel_javelin","None","False","53","11","(Combat)","(51951)","(51595)","True","0","None"
51599,"NSLOCTEXT("""", ""FeatTable_51599_FeatName"", ""Acheronian Two-Handed Sword"")","NSLOCTEXT("""", ""FeatTable_51599_Description"", ""XX_Desc: Acheronian Two-Handed Sword"")","/Game/UI/Textures/Icons/icon_acheron_2h_sword.icon_acheron_2h_sword","None","False","60","13","(Combat)","(11115)","(51599)","True","0","None"
51602,"NSLOCTEXT("""", ""FeatTable_51602_FeatName"", ""Wooden Targe"")","NSLOCTEXT("""", ""FeatTable_51602_Description"", ""XX_Desc: Wooden Targe"")","/Game/UI/Textures/Icons/icon_ornamented_wood_shield.icon_ornamented_wood_shield","None","False","11","3","(Combat)","(12,8,51000)","(51602)","True","0","None"
51611,"NSLOCTEXT("""", ""FeatTable_51611_FeatName"", ""Iron Targe"")","NSLOCTEXT("""", ""FeatTable_51611_Description"", ""XX_Desc: Iron Targe"")","/Game/UI/Textures/Icons/icon_iron_shield-1.icon_iron_shield-1","None","False","20","5","(Combat)","(12,51000)","(51611,51497)","True","0","None"
51621,"NSLOCTEXT("""", ""FeatTable_51621_FeatName"", ""Steel Heater Shield"")","NSLOCTEXT("""", ""FeatTable_51621_Description"", ""XX_Desc: Steel Heater Shield"")","/Game/UI/Textures/Icons/icon_heater_shield.icon_heater_shield","None","False","32","7","(Combat)","(12,52000)","(51621)","True","0","None"
51622,"NSLOCTEXT("""", ""FeatTable_51622_FeatName"", ""Ancient Shield"")","NSLOCTEXT("""", ""FeatTable_51622_Description"", ""XX_Desc: Ancient Shield"")","/Game/UI/Textures/Icons/icon_ancient_iron_shield.icon_ancient_iron_shield","None","False","45","10","(Combat)","(12,52000)","(51622)","True","0","None"
51628,"NSLOCTEXT("""", ""FeatTable_51628_FeatName"", ""Hardened Steel Shield"")","NSLOCTEXT("""", ""FeatTable_51628_Description"", ""XX_Desc: Hardened Steel Shield"")","/Game/UI/Textures/Icons/icon_hardened_steel_shield.icon_hardened_steel_shield","None","False","52","11","(Combat)","(12,51014)","(51628)","True","0","None"
51631,"NSLOCTEXT("""", ""FeatTable_51631_FeatName"", ""Star Metal Shield"")","NSLOCTEXT("""", ""FeatTable_51631_Description"", ""XX_Desc: Star Metal Shield"")","/Game/UI/Textures/Icons/icon_star_metal_shield.icon_star_metal_shield","None","False","60","13","(Combat)","(11116)","(51631)","True","0","None"
51711,"NSLOCTEXT("""", ""FeatTable_51711_FeatName"", ""Iron Pike"")","NSLOCTEXT("""", ""FeatTable_51711_Description"", ""XX_Desc: Iron Pike"")","/Game/UI/Textures/Icons/icon_long_spear-1.icon_long_spear-1","None","False","15","4","(Combat)","(3,10,51000)","(51711)","True","0","None"
51712,"NSLOCTEXT("""", ""FeatTable_51712_FeatName"", ""Steel Trident"")","NSLOCTEXT("""", ""FeatTable_51712_Description"", ""XX_Desc: Steel Trident"")","/Game/UI/Textures/Icons/icon_trident.icon_trident","None","False","43","9","(Combat)","(3,10,52000)","(51712)","True","0","None"
51723,"NSLOCTEXT("""", ""FeatTable_51723_FeatName"", ""Star Metal Spear"")","NSLOCTEXT("""", ""FeatTable_51723_Description"", ""XX_Desc: Star Metal Spear"")","/Game/UI/Textures/Icons/icon_star_metal_spear.icon_star_metal_spear","None","False","60","13","(Combat)","(11115)","(51723)","True","0","None"
51726,"NSLOCTEXT("""", ""FeatTable_51726_FeatName"", ""Hardened Steel Spear"")","NSLOCTEXT("""", ""FeatTable_51726_Description"", ""XX_Desc: Hardened Steel Spear"")","/Game/UI/Textures/Icons/icon_hardened_steel_spear.icon_hardened_steel_spear","None","False","59","12","(Combat)","(3,10,51014)","(51726)","True","0","None"
51811,"NSLOCTEXT("""", ""FeatTable_51811_FeatName"", ""Iron Broadsword"")","NSLOCTEXT("""", ""FeatTable_51811_Description"", ""XX_Desc: Iron Broadsword"")","/Game/UI/Textures/Icons/icon_exile_broadsword.icon_exile_broadsword","None","False","10","3","(Combat)","(4,51000)","(51811)","True","0","None"
51812,"NSLOCTEXT("""", ""FeatTable_51812_FeatName"", ""Stygian Khopesh"")","NSLOCTEXT("""", ""FeatTable_51812_Description"", ""XX_Desc: Stygian Khopesh"")","/Game/UI/Textures/Icons/icon_khopesh-1.icon_khopesh-1","None","False","16","4","(Combat)","(4,10,51000)","(51812)","True","0","None"
51813,"NSLOCTEXT("""", ""FeatTable_51813_FeatName"", ""Ancient Khopesh"")","NSLOCTEXT("""", ""FeatTable_51813_Description"", ""XX_Desc: Ancient Khopesh"")","/Game/UI/Textures/Icons/icon_ancient_iron_sword.icon_ancient_iron_sword","None","False","45","10","(Combat)","(4,10,52000)","(51813)","True","0","None"
51821,"NSLOCTEXT("""", ""FeatTable_51821_FeatName"", ""Cutlass"")","NSLOCTEXT("""", ""FeatTable_51821_Description"", ""XX_Desc: Cutlass"")","/Game/UI/Textures/Icons/icon_cutlass.icon_cutlass","None","False","25","6","(Combat)","(4,10,51000)","(51821)","True","0","None"
51822,"NSLOCTEXT("""", ""FeatTable_51822_FeatName"", ""Falcata"")","NSLOCTEXT("""", ""FeatTable_51822_Description"", ""XX_Desc: Falcata"")","/Game/UI/Textures/Icons/icon_falcata.icon_falcata","None","False","38","8","(Combat)","(4,10,52000)","(51822)","True","0","None"
51831,"NSLOCTEXT("""", ""FeatTable_51831_FeatName"", ""Longsword"")","NSLOCTEXT("""", ""FeatTable_51831_Description"", ""XX_Desc: Longsword"")","/Game/UI/Textures/Icons/icon_longsword.icon_longsword","None","False","30","7","(Combat)","(4,10,52000)","(51831)","True","0","None"
51833,"NSLOCTEXT("""", ""FeatTable_51833_FeatName"", ""Darfari Weapons"")","NSLOCTEXT("""", ""FeatTable_51833_Description"", ""XX_Desc: Darfari Weapons"")","/Game/UI/Textures/Icons/icon_yog_cleaver.icon_yog_cleaver","None","False","10","0","(Combat)","(4)","(51833,51853,51850)","False","0","None"
51841,"NSLOCTEXT("""", ""FeatTable_51841_FeatName"", ""Hardened Steel Sword"")","NSLOCTEXT("""", ""FeatTable_51841_Description"", ""XX_Desc: Hardened Steel Sword"")","/Game/UI/Textures/Icons/icon_hardened_steel_1h_sword.icon_hardened_steel_1h_sword","None","False","50","11","(Combat)","(4,10,51014)","(51841)","True","0","None"
51844,"NSLOCTEXT("""", ""FeatTable_51844_FeatName"", ""Hardened Steel War Axe"")","NSLOCTEXT("""", ""FeatTable_51844_Description"", ""XX_Desc: Hardened Steel War Axe"")","/Game/UI/Textures/Icons/icon_hardened_steel_waraxe.icon_hardened_steel_waraxe","None","False","56","12","(Combat)","(4,10,51014)","(51844)","True","0","None"
51851,"NSLOCTEXT("""", ""FeatTable_51851_FeatName"", ""Cimmerian Battle-axe"")","NSLOCTEXT("""", ""FeatTable_51851_Description"", ""XX_Desc: Cimmerian Battle-axe"")","/Game/UI/Textures/Icons/icon_cimmerian_battleaxe.icon_cimmerian_battleaxe","None","False","40","9","(Combat)","(4,10,52000)","(51851)","True","0","None"
51852,"NSLOCTEXT("""", ""FeatTable_51852_FeatName"", ""Iron Axe"")","NSLOCTEXT("""", ""FeatTable_51852_Description"", ""XX_Desc: Iron Axe"")","/Game/UI/Textures/Icons/icon_iron_axe.icon_iron_axe","None","False","14","3","(Combat)","(4,10,51000)","(51852)","True","0","None"
51912,"NSLOCTEXT("""", ""FeatTable_51912_FeatName"", ""Throwing Axe"")","NSLOCTEXT("""", ""FeatTable_51912_Description"", ""XX_Desc: Throwing Axe"")","/Game/UI/Textures/Icons/icon_throwing_axe.icon_throwing_axe","None","False","27","3","(Combat)","(51951,10,51000)","(51912)","True","0","None"
51921,"NSLOCTEXT("""", ""FeatTable_51921_FeatName"", ""Javelin"")","NSLOCTEXT("""", ""FeatTable_51921_Description"", ""XX_Desc: Javelin"")","/Game/UI/Textures/Icons/icon_Javelin-1.icon_Javelin-1","None","False","12","2","(Combat)","(51951,10,51000)","(51911)","True","0","None"
51931,"NSLOCTEXT("""", ""FeatTable_51931_FeatName"", ""Stygian Spear"")","NSLOCTEXT("""", ""FeatTable_51931_Description"", ""XX_Desc: Stygian Spear"")","/Game/UI/Textures/Icons/icon_stygian_bronze_spear.icon_stygian_bronze_spear","None","False","29","6","(Combat)","(3,10,51000)","(51931)","True","0","None"
51932,"NSLOCTEXT("""", ""FeatTable_51932_FeatName"", ""Hardened Steel Throwing Axe"")","NSLOCTEXT("""", ""FeatTable_51932_Description"", ""XX_Desc: Hardened Steel Throwing Axe"")","/Game/UI/Textures/Icons/icon_hardened_steel_throwing_axe.icon_hardened_steel_throwing_axe","None","False","51","6","(Combat)","(51951,10,51014)","(51932)","True","0","None"
51938,"NSLOCTEXT("""", ""FeatTable_51938_FeatName"", ""Star Metal Throwing Axe"")","NSLOCTEXT("""", ""FeatTable_51938_Description"", ""XX_Desc: Star Metal Throwing Axe"")","/Game/UI/Textures/Icons/icon_star_metal_throwing_axe.icon_star_metal_throwing_axe","None","False","60","7","(Combat)","(11118)","(51938)","True","0","None"
51941,"NSLOCTEXT("""", ""FeatTable_51941_FeatName"", ""Ancient Two-Handed Sword"")","NSLOCTEXT("""", ""FeatTable_51941_Description"", ""XX_Desc: Ancient Two-Handed Sword"")","/Game/UI/Textures/Icons/icon_ancient_2hSword.icon_ancient_2hSword","None","False","42","9","(Combat)","(3,10,52000)","(51941)","True","0","None"
51942,"NSLOCTEXT("""", ""FeatTable_51942_FeatName"", ""Ancient Daggers"")","NSLOCTEXT("""", ""FeatTable_51942_Description"", ""XX_Desc: Ancient Daggers"")","/Game/UI/Textures/Icons/icon_sewerbeast_dagger.icon_sewerbeast_dagger","None","False","43","9","(Combat)","(51951,10,52000)","(51942)","True","0","None"
51951,"NSLOCTEXT("""", ""FeatTable_51951_FeatName"", ""Skirmisher"")","NSLOCTEXT("""", ""FeatTable_51951_Description"", ""XX_Desc: Skirmisher"")","/Game/UI/Textures/Icons/icon_poniard_stone_t1.icon_poniard_stone_t1","None","False","6","2","(Combat)","","(51951,51946,51594)","True","40","None"
51952,"NSLOCTEXT("""", ""FeatTable_51952_FeatName"", ""Iron Poniard"")","NSLOCTEXT("""", ""FeatTable_51952_Description"", ""XX_Desc: Iron Poniard"")","/Game/UI/Textures/Icons/icon_poniard_t2.icon_poniard_t2","None","False","13","3","(Combat)","(51951,10,51000)","(51952)","True","0","None"
51953,"NSLOCTEXT("""", ""FeatTable_51953_FeatName"", ""Steel Poniard"")","NSLOCTEXT("""", ""FeatTable_51953_Description"", ""XX_Desc: Steel Poniard"")","/Game/UI/Textures/Icons/icon_poignard.icon_poignard","None","False","32","7","(Combat)","(51951,10,52000)","(51953)","True","0","None"
